input_statement,statement_type,A,D,I,B,C,O
YOUR ATMOSPHERE,unknown,,,,,,
Our work is highly complex.,explanation,,,,work,highly complex,
"Rarely will anyone give you a ready-made recipe, at best they will tell you where to look.",explanation,,,,,,
"That is why you need to rely only on your mental acuity, your wit and ingenuity, your ability to make unconventional moves.",explanation,,,,,,
"That is, your evolutionary advantages.",unknown,,,,,,
"Magic practices from the IT world don't work - scrums, standups, rallies, ticketing, code reviews",explanation,,,,,,
and other kargo cults with silver bullets.,unknown,,,,,,
"It's not enough to just ""do the right thing"" and expect results.",explanation,,,,,,
Think critically and only apply what is successful.,unknown,,,,,,
We have no frameworks and no people-functions.,unknown,,,,,,
Intelligence and resourcefulness are valued.,norm,,valued,,intelligence and resourcefulness,,
No one stands over your head.,rule,,no one,stands,your head,,
Only results are judged.,unknown,,only,judge,results,,
The goto operator is allowed and widely used.,norm,,allowed,use,goto operator,and widely used,
Any hacks leading to the goal are used.,unknown,,,,,,
The end always justifies the means.,explanation,,,,,,
"There are no forbidden tricks, only ineffective ones.",explanation,,,,,,
A good code is the one that solves the task.,explanation,,,solve,the task,,
"Of course, it's good if it's not too crooked and clear enough,",explanation,,,,,,
but we'll figure it out.,unknown,,,,,,
You don't need code that is stylistically beautiful but does not solve the task.,norm,you,need not,solve the task,code that is stylistically beautiful but does not,,
"You need code that solves the task because a solved task means money, yours and mine.",explanation,you,,solves,the task,,
"While we're on the subject of code, here's what we consider to be good code:",explanation,,,,,,
* simplicity for the dumb.,unknown,,,,,,
"Fuck eight-story designs and fancy features for the sake of fancy features (if you can't do without them, of course).",explanation,,,,,,
"Write simply, as simply as possible.",norm,you,should,write,simply,,
* Always explain _intentions_,unknown,,,,,,
besides _methods_.,unknown,,,,,,
We have a lot of magic being used.,unknown,,,,,,
"Explain everything to the best of your ability, with extended comments.",explanation,you,,explain,everything,"to the best of your ability, with extended comments",
"You should write not only ""what I'm doing"", but primarily ""why I'm doing it"".",norm,you,should,write,"not only what, but primarily why",,
bad,unknown,,,,,,
// allocate memory in a remote process and run shell code,unknown,,,,,,
good,unknown,,,,,,
"// we need to remove hooks on such and such function in the remote process, because otherwise this and that won't work.",unknown,,,,,,
"// so we allocate memory in the remote process and run the shell code, which is taken from here from the github https://....",unknown,,,,,,
// the shell code will find such and such bytes in the prologue of such and such function and patch them to the ones we need.,unknown,,,,,,
"// there were also variants one (link) and two (link), but they don't work well on such and such systems.",unknown,,,,,,
* the best code is the one that doesn't exist (don't write unnecessary code),explanation,,,write,unnecessary code,,
Don't make groundwork years in advance.,norm,you,don't,make groundwork,,years in advance,
"""Tomorrow"" may never come and nobody will need the code.",explanation,,may,,,tomorrow,nobody will need the code
"""Tomorrow"" will turn out to be a bad guess.",explanation,,,turn out,a bad guess,tomorrow,
"Brevity, minimalism is our everything.",unknown,,,,,,
"Occam's Razor cuts off everything, even OOP.",explanation,Occam's Razor,,cut,everything,even OOP,
* There is no sense in writing code if it has already been written by someone else.,explanation,,,,,,
"Before writing it, search the Web.",explanation,you,,search,the Web,before writing it,
"If you take someone else's code, be sure to put a link to the source code where it was taken from.",norm,you,should,put a link,to the source code,where it was taken from,
"Because of this, we have a simple license policy - there is none.",explanation,,,,,because of this,
"Ask for someone else's demo and reverse engineer it,",unknown,,,,,,
to see how it works.,unknown,,,,,,
Half of the time you can find an article or sources on the topic by characteristic calls and patterns.,explanation,,,,,,
But be aware that the same can be done to your code - how to protect yourself from this is described in another text.,explanation,,,,,,
* tolerance,unknown,,,,,,
You don't need your opinion about other people's code and methods of work without special request.,norm,you,don't need,express opinion,other people's code and methods of work,without special request,
Everyone has his own style and handwriting.,explanation,,,,,,
He has either achieved it or is not with us.,unknown,,,,,,
***,unknown,,,,,,
"We have freedom, as far as it's achievable.",unknown,,,,,,
"If you produce results, you can do whatever you want.",rule,you,can,produce results,,if you produce results,
"You can hire someone to write it for you, buy it or steal it.",unknown,,can,,,,
The most important thing is to see it through to the end.,explanation,,,see it through to the end,,,
