input_statement,statement_type,A,D,I,B,C,O
TIPS FOR CLEARING ANTIVIRUS DETECTIONS,unknown,,,,,,
1.,unknown,,,,,,
"When an AV detector is detected on software (on any software, not necessarily this project), the developer:",unknown,,,,,,
"- records in RELEASE NOTES the date, the name of the AV, the type of AV detector (static/dynamic), and the name of the detector(s).",unknown,,,,,,
"If detections are on several ABs, attach dyncheck link.",explanation,implied actor,,attach,dyncheck link,if detections are on several ABs,
"Also writes special notes if there are any (anything that he/she considers necessary to add - observations, conjectures, patterns).",explanation,he/she,,write,special notes,"if there are any, anything that he/she considers necessary to add - observations, conjectures, patterns",
"- In the course of detectorization, describes the methods of detectorization, which were used, and the results achieved.",explanation,,,,,,
"In short, during detections, a log with all details should be kept in the RELEASE_NOTES.txt file of the project.",norm,implied actor,should,keep,a log with all details,in the RELEASE_NOTES.txt file of the project,
"It is necessary for experience exchange between different developers, identification of the most effective methodology, as well as accumulation of statistics on AB operation.",explanation,,necessary,,,"experience exchange between different developers, identification of the most effective methodology, accumulation of statistics on AB operation",
2.,unknown,,,,,,
"The ""researcher's quick start"" describes in detail the principles of withdrawal and all currently known factors.",explanation,,,,,,
3.,unknown,,,,,,
"To remove static, you should use avclean's automatic detector scanner to save your time.",norm,you,should,remove,static,using avclean's automatic detector scanner,
